,artist,album,track_name,track_id,duration_ms,danceability,valence,energy,tempo,loudness,speechiness,instrumentalness,liveness,acousticness
0,The Weeknd,Dawn FM,Is There Someone Else?,0mL82sxCRjrs3br407IdJh,199111,0.702,0.608,0.586,134.951,-7.83,0.0313,7.27e-05,0.156,0.0388
1,The Weeknd,Dawn FM,"Here We Go… Again (feat. Tyler, the Creator)",1NhjYYcYTRywc0di98xHxf,209778,0.469,0.198,0.623,134.943,-4.432,0.0302,0,0.588,0.345
2,Father John Misty,Pure Comedy,Pure Comedy,0HbFgNSVPMfZLXcmkm5Q42,383800,0.463,0.157,0.262,130.228,-11.655,0.0404,0,0.215,0.816
3,Rina Sawayama,SAWAYAMA,XS,1TWNKyNQOBfNUkWWs7FooF,201060,0.635,0.59,0.929,117.039,-3.256,0.146,1.14e-06,0.0822,0.0854
4,Kate Bush,Hounds of Love (2018 Remaster),Hounds Of Love - 2018 Remaster,7Gmds7ZyvhKdoU0Ho4GIxK,182867,0.543,0.928,0.795,145.523,-12.769,0.0394,3.5e-06,0.2,0.498
5,The Weeknd,Dawn FM,Best Friends,1E5Xu8dur0fAjSP1VpVhAZ,163504,0.737,0.528,0.564,90.0,-7.045,0.105,0,0.351,0.436
6,Father John Misty,Chloë and the Next 20th Century,Funny Girl,0reRPFzKIUVpwkXFE7Qt2w,219013,0.237,0.254,0.352,180.402,-8.864,0.0359,0.229,0.156,0.963
7,Angel Olsen,MY WOMAN,Shut Up Kiss Me,3EEr6l5PYelwkrvvKX7N0X,202200,0.375,0.349,0.63,115.728,-5.131,0.0453,0,0.107,0.0552
8,Nigo,I Know NIGO!,"Come On, Let's Go (with Nigo)",6f44p3Kc4ayD9VtbC9Clkr,199500,0.732,0.488,0.734,145.722,-7.968,0.0974,0.000901,0.165,0.136
9,Weyes Blood,Titanic Rising,Something to Believe,30TCAxiC8zVb5NVdUoUuCS,285560,0.31,0.188,0.391,136.964,-8.594,0.0274,1.62e-05,0.319,0.625
10,Kate Bush,Hounds of Love (2018 Remaster),And Dream Of Sheep - 2018 Remaster,0NMLAW3ma3naFx3DQRrnNS,165013,0.257,0.308,0.0599,78.962,-17.884,0.041,0,0.339,0.915
11,Grimes,Art Angels,Realiti,7eXFZCiP9GqdMUashk96UF,306532,0.639,0.35,0.632,114.993,-7.589,0.029,0.0411,0.115,0.000904
12,Rina Sawayama,SAWAYAMA,Bad Friend,1ApN1loxlt0rzRFc8iETw7,208128,0.549,0.454,0.72,94.92,-4.426,0.0502,3e-06,0.327,0.215
13,Rex Orange County,WHO CARES?,SHOOT ME DOWN,5jLjUQIa8fV6erihJb1App,292467,0.615,0.48,0.606,139.246,-8.553,0.0325,0.00894,0.0863,0.485
14,Denzel Curry,Melt My Eyez See Your Future,"Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",1InX2gJz9jvp4tLOc84DWe,264613,0.405,0.327,0.707,80.666,-7.586,0.111,2.96e-06,0.348,0.0929
15,Joji,Glimpse of Us,Glimpse of Us,6xGruZOHLs39ZbVccQTuPZ,233456,0.44,0.268,0.317,169.914,-9.258,0.0531,4.78e-06,0.141,0.891
16,Grimes,Art Angels,Flesh without Blood,62jc4VA6WPoANaL9Duu8db,264524,0.481,0.66,0.965,155.934,-2.993,0.0875,0.000733,0.476,0.000903
17,The Weeknd,Dawn FM,How Do I Make You Love Me?,2Ghp894n1laIf2w98VeAOJ,214215,0.805,0.636,0.498,121.006,-7.927,0.0737,2.37e-05,0.085,0.0203
18,Denzel Curry,Melt My Eyez See Your Future,Troubles [Feat. T-Pain],5gAYHuWkL18ccsxM6akJXP,160000,0.78,0.899,0.751,180.008,-4.681,0.177,3.36e-05,0.176,0.546
19,"Tyler, The Creator",IGOR,NEW MAGIC WAND,0fv2KH6hac06J86hBUTcSf,195320,0.621,0.464,0.73,139.566,-5.414,0.107,0.000131,0.673,0.0967
20,Charli XCX,Beg For You (feat. Rina Sawayama),Beg For You (feat. Rina Sawayama),50ZFpw2wS6ERvLmW8TINhq,168053,0.788,0.466,0.945,128.036,-5.091,0.0599,2.97e-06,0.115,0.223
21,FKA twigs,CAPRISONGS,tears in the club (feat. the weeknd),1GsSM1Fju5J1Fsu51jEsTg,196760,0.616,0.72,0.717,167.99,-6.178,0.11,9.81e-05,0.0731,0.194
22,Denzel Curry,Melt My Eyez See Your Future,Walkin,1q8DwZtQen5fvyB7cKbShC,280000,0.557,0.386,0.654,135.983,-7.201,0.196,0,0.291,0.134
23,Perfume Genius,Set My Heart On Fire Immediately,On the Floor,05HElY3EVth4SMuOJOGusl,303600,0.412,0.583,0.727,117.551,-6.001,0.0369,0.00171,0.257,0.318
24,Kate Bush,Hounds of Love (2018 Remaster),Running Up That Hill (A Deal With God) - 2018 Remaster,29d0nY7TzCoi22XBqDQkiP,300840,0.625,0.139,0.533,108.296,-11.903,0.0596,0.00266,0.0546,0.659
25,The Weeknd,Dawn FM,Out of Time,2SLwbpExuoBDZBpjfefCtV,214194,0.65,0.838,0.76,93.057,-4.422,0.0446,0,0.339,0.255
26,Sufjan Stevens,A Beginner's Mind,Back To Oz,6s0F09N7jp4wSqN8vVgMQR,252053,0.438,0.441,0.408,170.068,-10.461,0.0314,0.00118,0.131,0.528
